persona_id,persona_name,age,occupation,residence,income_band,user_id,transaction_id,source,direction,transaction_type,payment_method,transaction_date,day_of_week,transaction_time,category,subcategory,merchant,merchant_id,amount_krw,account_id,card_id,is_fixed,is_recurring,classify_source,confirm_status,exclude_tag,status,memo
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0001,SEED,EXPENSE,CARD,CARD,2026-06-06,토,08:56,식비,카페,편의점 커피,M-01,2800,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0002,SEED,EXPENSE,CARD,CARD,2026-06-07,일,14:31,여가·문화,영화/공연,영화관,M-05,16800,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,주말 일정
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0003,SEED,EXPENSE,CARD,CARD,2026-06-07,일,17:52,식비,저녁/외식,국수집,M-02,13400,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,주말 약속
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0004,SEED,EXPENSE,CARD,CARD,2026-06-07,일,21:01,사회·경조,모임,친구 모임,M-04,36000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,약속·모임
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0005,SEED,EXPENSE,CARD,CARD,2026-06-07,일,23:11,교통,택시,서울 택시,M-03,23300,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0006,SEED,EXPENSE,CARD,CARD,2026-06-08,월,08:06,교통,대중교통,서울교통공사,M-07,2450,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0007,SEED,EXPENSE,WITHDRAW,ACCOUNT,2026-06-08,월,08:35,주거·통신,월세,원룸 월세,M-06,766300,ACC-DEMO-001,,true,true,MERCHANT_MAP,AUTO,NONE,NORMAL,월 정기 지출
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0008,SEED,EXPENSE,CARD,CARD,2026-06-08,월,12:36,식비,점심,백반집,M-08,8400,,CARD-DEMO-001,false,false,MERCHANT_MAP,PENDING,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0009,SEED,EXPENSE,CARD,CARD,2026-06-08,월,14:34,식비,편의점,GS25,M-09,5700,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0010,SEED,EXPENSE,CARD,CARD,2026-06-09,화,07:33,교통,대중교통,서울교통공사,M-07,1850,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0011,SEED,EXPENSE,CARD,CARD,2026-06-09,화,12:54,식비,카페,프랜차이즈 카페,M-11,5100,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0012,SEED,EXPENSE,CARD,CARD,2026-06-09,화,13:20,식비,점심,구내식당,M-10,10000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0013,SEED,EXPENSE,CARD,CARD,2026-06-10,수,08:00,교통,대중교통,서울교통공사,M-07,1700,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0014,SEED,EXPENSE,CARD,CARD,2026-06-10,수,12:42,식비,점심,백반집,M-08,11200,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0015,SEED,EXPENSE,CARD,CARD,2026-06-10,수,13:17,식비,카페,동네 카페,M-12,3900,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0016,SEED,EXPENSE,CARD,CARD,2026-06-10,수,21:34,식비,저녁/외식,고깃집,M-13,44400,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,저녁 식사
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0017,SEED,EXPENSE,CARD,CARD,2026-06-11,목,08:40,교통,대중교통,서울교통공사,M-07,2700,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0018,SEED,EXPENSE,CARD,CARD,2026-06-11,목,12:23,식비,점심,분식집,M-14,7800,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0019,SEED,EXPENSE,CARD,CARD,2026-06-11,목,13:24,식비,카페,동네 카페,M-12,4300,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0020,SEED,EXPENSE,CARD,CARD,2026-06-12,금,07:50,주거·통신,구독,동영상 스트리밍,M-15,16500,,CARD-DEMO-001,true,true,MERCHANT_MAP,AUTO,NONE,NORMAL,자동 결제
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0021,SEED,EXPENSE,CARD,CARD,2026-06-12,금,08:06,교통,대중교통,서울교통공사,M-07,2150,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0022,SEED,EXPENSE,CARD,CARD,2026-06-12,금,13:08,식비,점심,분식집,M-14,6800,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0023,SEED,EXPENSE,CARD,CARD,2026-06-12,금,13:55,식비,장보기,시장,M-16,24000,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,식재료 구매
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0024,SEED,EXPENSE,CARD,CARD,2026-06-13,토,13:48,여가·문화,취미,문구·취미점,M-18,30700,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,여가
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0025,SEED,EXPENSE,CARD,CARD,2026-06-13,토,18:53,사회·경조,모임,동료 모임,M-17,69000,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,약속·모임
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0026,SEED,EXPENSE,CARD,CARD,2026-06-14,일,18:59,교통,택시,카카오T,M-19,10800,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0027,SEED,EXPENSE,CARD,CARD,2026-06-14,일,22:10,식비,저녁/외식,고깃집,M-13,35500,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,저녁 식사
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0028,SEED,EXPENSE,CARD,CARD,2026-06-15,월,08:23,교통,대중교통,서울교통공사,M-07,2150,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0029,SEED,EXPENSE,WITHDRAW,ACCOUNT,2026-06-15,월,09:05,주거·통신,통신,휴대폰 요금,M-20,69600,ACC-DEMO-001,,true,true,MERCHANT_MAP,AUTO,NONE,NORMAL,월 정기 지출
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0030,SEED,EXPENSE,CARD,CARD,2026-06-15,월,12:16,식비,점심,샐러드 가게,M-21,11000,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0031,SEED,EXPENSE,CARD,CARD,2026-06-15,월,12:51,식비,편의점,GS25,M-09,3000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0032,SEED,EXPENSE,CARD,CARD,2026-06-16,화,08:45,교통,대중교통,서울교통공사,M-07,1950,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0033,SEED,EXPENSE,CARD,CARD,2026-06-16,화,13:18,식비,점심,구내식당,M-10,9000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0034,SEED,EXPENSE,CARD,CARD,2026-06-16,화,16:15,식비,카페,프랜차이즈 카페,M-11,4900,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0035,SEED,EXPENSE,CARD,CARD,2026-06-16,화,16:39,쇼핑,생활용품,쿠팡,M-22,136000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,비정기 구매
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0036,SEED,EXPENSE,CARD,CARD,2026-06-16,화,18:24,사회·경조,모임,동료 모임,M-17,46000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,약속·모임
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0037,SEED,EXPENSE,CARD,CARD,2026-06-17,수,09:09,교통,대중교통,서울교통공사,M-07,2850,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0038,SEED,EXPENSE,CARD,CARD,2026-06-18,목,08:15,교통,대중교통,서울교통공사,M-07,2950,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0039,SEED,EXPENSE,CARD,CARD,2026-06-18,목,16:21,식비,카페,프랜차이즈 카페,M-11,5400,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0040,SEED,EXPENSE,CARD,CARD,2026-06-18,목,19:01,교통,택시,카카오T,M-19,20700,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0041,SEED,EXPENSE,CARD,CARD,2026-06-19,금,07:47,교통,대중교통,서울교통공사,M-07,3150,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0042,SEED,EXPENSE,CARD,CARD,2026-06-19,금,10:08,식비,카페,편의점 커피,M-01,2300,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0043,SEED,EXPENSE,CARD,CARD,2026-06-19,금,12:47,식비,점심,분식집,M-14,7000,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0044,SEED,EXPENSE,WITHDRAW,ACCOUNT,2026-06-20,토,08:20,주거·통신,인터넷,인터넷 요금,M-23,35200,ACC-DEMO-001,,true,true,USER,CONFIRMED,NONE,NORMAL,월 정기 지출
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0045,SEED,EXPENSE,CARD,CARD,2026-06-20,토,10:22,식비,카페,프랜차이즈 카페,M-11,4500,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0046,SEED,EXPENSE,CARD,CARD,2026-06-20,토,19:08,사회·경조,모임,친구 모임,M-04,66000,,CARD-DEMO-001,false,false,MERCHANT_MAP,PENDING,NONE,NORMAL,약속·모임
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0047,SEED,EXPENSE,CARD,CARD,2026-06-20,토,22:05,식비,저녁/외식,배달 음식,M-24,24800,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,주말 약속
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0048,SEED,EXPENSE,CARD,CARD,2026-06-21,일,09:49,식비,카페,프랜차이즈 카페,M-11,4900,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0049,SEED,EXPENSE,CARD,CARD,2026-06-22,월,08:12,교통,대중교통,서울교통공사,M-07,2500,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0050,SEED,EXPENSE,WITHDRAW,ACCOUNT,2026-06-22,월,08:40,주거·통신,공과금,전기·가스 요금,M-25,77000,ACC-DEMO-001,,true,true,MERCHANT_MAP,AUTO,NONE,NORMAL,사용량에 따라 변동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0051,SEED,EXPENSE,CARD,CARD,2026-06-22,월,12:47,식비,점심,백반집,M-08,13500,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0052,SEED,EXPENSE,CARD,CARD,2026-06-23,화,09:19,교통,대중교통,서울교통공사,M-07,1700,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0053,SEED,EXPENSE,CARD,CARD,2026-06-23,화,12:49,식비,점심,분식집,M-14,8900,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0054,SEED,EXPENSE,CARD,CARD,2026-06-23,화,21:32,사회·경조,모임,스터디 회식,M-26,63000,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,약속·모임
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0055,SEED,EXPENSE,CARD,CARD,2026-06-24,수,08:18,교통,대중교통,서울교통공사,M-07,1850,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0056,SEED,EXPENSE,CARD,CARD,2026-06-24,수,08:32,식비,카페,프랜차이즈 카페,M-11,5500,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0057,SEED,EXPENSE,CARD,CARD,2026-06-24,수,11:41,식비,점심,분식집,M-14,7900,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0058,SEED,EXPENSE,CARD,CARD,2026-06-24,수,12:38,여가·문화,여가 활동,전시·체험,M-27,24900,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,여가
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0059,SEED,EXPENSE,CARD,CARD,2026-06-24,수,21:48,교통,택시,서울 택시,M-03,17600,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0060,SEED,EXPENSE,CARD,CARD,2026-06-25,목,07:34,교통,대중교통,서울교통공사,M-07,2100,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0061,SEED,EXPENSE,CARD,CARD,2026-06-25,목,13:25,식비,점심,분식집,M-14,8000,,CARD-DEMO-001,false,false,USER,CONFIRMED,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0062,SEED,EXPENSE,CARD,CARD,2026-06-25,목,14:44,식비,카페,편의점 커피,M-01,2300,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0063,SEED,EXPENSE,CARD,CARD,2026-06-26,금,09:08,교통,대중교통,서울교통공사,M-07,3450,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,통학·이동
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0064,SEED,EXPENSE,CARD,CARD,2026-06-26,금,12:03,식비,점심,샐러드 가게,M-21,9300,,CARD-DEMO-001,false,false,MERCHANT_MAP,AUTO,NONE,NORMAL,평일 점심
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0065,SEED,EXPENSE,CARD,CARD,2026-06-26,금,19:08,식비,저녁/외식,국수집,M-02,12700,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,저녁 식사
P-DEMO-001,김하늘,28,SSAFY 교육생,서울 관악구,월 300~350만원,USR-DEMO-001,TX-DEMO-0066,SEED,EXPENSE,CARD,CARD,2026-06-27,토,13:41,식비,카페,프랜차이즈 카페,M-11,5400,,CARD-DEMO-001,false,false,MODEL,AUTO,NONE,NORMAL,
